NSE,E,11165,EQUITY,0,COFFEEDAY-EQ,null,Coffee Day Enterprises
NSE,E,11184,EQUITY,0,IDFCFIRSTB-EQ,null,IDFC First Bank
NSE,E,11193,EQUITY,0,AXISILVER-EQ,null,AXISAMC - AXISILVER
NSE,E,11195,EQUITY,0,INDIGO-EQ,null,Indigo Interglobe Aviation
NSE,E,11212,EQUITY,0,SHK-EQ,null,S H Kelkar and Company
NSE,E,11220,EQUITY,0,VARDHACRLC-EQ,null,Vardhaman Acrylics
NSE,E,11223,EQUITY,0,UCOBANK-EQ,null,UCO Bank
NSE,E,11233,EQUITY,0,SUVEN-EQ,null,Suven Life Sciences
NSE,E,11236,EQUITY,0,JSL-EQ,null,JSL Jindal Stainless
NSE,E,11239,EQUITY,0,NSIL-EQ,null,Nalwa Sons Investments
NSE,E,11241,EQUITY,0,HDFCGROWTH-EQ,null,HDFCAMC - HDFCGROWTH
NSE,E,11253,EQUITY,0,WELSPUNIND-EQ,null,Welspun India
NSE,E,11255,EQUITY,0,HDFCQUAL-EQ,null,HDFCAMC - HDFCQUAL
NSE,E,11256,EQUITY,0,JAIBALAJI-EQ,null,Jai Balaji Industries
NSE,E,11260,EQUITY,0,HDFCVALUE-EQ,null,HDFCAMC - HDFCVALUE
NSE,E,11262,EQUITY,0,IGL-EQ,null,Indraprastha Gas
NSE,E,11265,EQUITY,0,TVSELECT-EQ,null,TVS Electronics
NSE,E,1127,EQUITY,0,GHCL-EQ,null,GHCL
NSE,E,11271,EQUITY,0,DREDGECORP-EQ,null,Dredging Corporation of India
NSE,E,11275,EQUITY,0,TVTODAY-EQ,null,TV Today Network
NSE,E,11287,EQUITY,0,UPL-EQ,null,UPL / United Phosphorus
NSE,E,11293,EQUITY,0,UNIENTER-EQ,null,Uniphos Enterprises
NSE,E,11301,EQUITY,0,LUXIND-EQ,null,Lux Industries
NSE,E,11319,EQUITY,0,LICNETFN50-EQ,null,LIC MF ETF Nifty 50
NSE,E,11325,EQUITY,0,MUKANDLTD-EQ,null,Mukand
NSE,E,11343,EQUITY,0,AFFLE-EQ,null,Affle India
NSE,E,11351,EQUITY,0,PETRONET-EQ,null,Petronet LNG
NSE,E,11359,EQUITY,0,DHANBANK-EQ,null,Dhanlaxmi Bank
NSE,E,11364,EQUITY,0,VAIBHAVGBL-EQ,null,Vaibhav Global
NSE,E,11369,EQUITY,0,TTKHLTCARE-EQ,null,TTK Healthcare
NSE,E,11373,EQUITY,0,BIOCON-EQ,null,Biocon
NSE,E,11374,EQUITY,0,TIPSFILMS-EQ,null,TIPS FILMS LIMITED
NSE,E,11377,EQUITY,0,MAHABANK-EQ,null,Bank of Maharashtra
NSE,E,11386,EQUITY,0,ICICIBANKP-EQ,null,ICICI Pru Private Banks ETF
NSE,E,11387,EQUITY,0,UMANGDAIRY-EQ,null,Umang Dairies
NSE,E,1139,EQUITY,0,GICHSGFIN-EQ,null,GIC Housing Finance
NSE,E,11394,EQUITY,0,ZOTA-EQ,null,Zota Healthcare
NSE,E,11399,EQUITY,0,SALZERELEC-EQ,null,Salzer Electronics
NSE,E,11403,EQUITY,0,POONAWALLA-EQ,null,Poonawalla Fincorp Ltd
NSE,E,11407,EQUITY,0,XPROINDIA-EQ,null,Xpro India
NSE,E,11411,EQUITY,0,RKFORGE-EQ,null,Ramkrishna Forgings
NSE,E,1142,EQUITY,0,GINNIFILA-EQ,null,Ginni Filaments
NSE,E,11423,EQUITY,0,DATAMATICS-EQ,null,Datamatics Global Services
NSE,E,1143,EQUITY,0,SDL24BEES-EQ,null,Nifty CPSE Bond+ SDL 2024M ETF
NSE,E,11432,EQUITY,0,KRITINUT-EQ,null,KRITI NUTRIENTS LIMITED
NSE,E,11439,EQUITY,0,BANKBEES-EQ,null,Nippon India ETF Bank Bees
NSE,E,11441,EQUITY,0,LICNETFSEN-EQ,null,LIC MF ETF Sensex
NSE,E,11445,EQUITY,0,PILANIINVS-EQ,null,Pilani Investment and Industries Corp
NSE,E,11446,EQUITY,0,SPICEJET-EQ,null,Spicejet
NSE,E,1145,EQUITY,0,GIPCL-EQ,null,Gujarat Industries Power Company
NSE,E,11452,EQUITY,0,CCL-EQ,null,CCL Products India
NSE,E,11457,EQUITY,0,KOTAKNV20-EQ,null,Kotak NV 20 ETF
NSE,E,11460,EQUITY,0,JPASSOCIAT-EQ,null,Jaypee Group
NSE,E,11471,EQUITY,0,EXCELINDUS-EQ,null,Excel Industries
NSE,E,11480,EQUITY,0,KRIDHANINF-EQ,null,Kridhan Infra
NSE,E,11483,EQUITY,0,LT-EQ,null,L&T Larsen & Toubro
NSE,E,11491,EQUITY,0,APARINDS-EQ,null,Apar Industries
NSE,E,11520,EQUITY,0,SECURCRED-EQ,null,SecUR Credentials
NSE,E,11522,EQUITY,0,NIITLTD-EQ,null,NIIT
NSE,E,1153,EQUITY,0,GLAXO-EQ,null,GSK GlaxoSmithKline Pharmaceuticals
NSE,E,11530,EQUITY,0,EMIL-EQ,null,ELECTRONICS MART IND LTD
NSE,E,11532,EQUITY,0,ULTRACEMCO-EQ,null,UltraTech Cement
NSE,E,11536,EQUITY,0,TCS-EQ,null,TCS Tata Consultancy Services
NSE,E,11538,EQUITY,0,HDFCMOMENT-EQ,null,HDFCAMC - HDFCMOMENT
NSE,E,11543,EQUITY,0,COFORGE-EQ,null,Coforge
NSE,E,11547,EQUITY,0,HDFCLOWVOL-EQ,null,HDFCAMC - HDFCLOWVOL
NSE,E,11549,EQUITY,0,TEXINFRA-EQ,null,Texmaco Infrastructure & Holdings
NSE,E,11566,EQUITY,0,DCI-EQ,null,DC Infotech and Communication
NSE,E,11571,EQUITY,0,PPLPHARMA-EQ,null,PIRAMAL PHARMA LIMITED
NSE,E,11573,EQUITY,0,FORCEMOT-EQ,null,Force Motors
NSE,E,11580,EQUITY,0,WESTLIFE-EQ,null,Westlife Development
NSE,E,11581,EQUITY,0,GULFPETRO-EQ,null,GP Petroleums
NSE,E,11582,EQUITY,0,TRACXN-EQ,null,TRACXN TECHNOLOGIES LTD
NSE,E,11591,EQUITY,0,HDFCNIFETF-EQ,null,HDFCAMC - HDFCNIFETF
NSE,E,11593,EQUITY,0,HDFCSENETF-EQ,null,HDFCAMC - HDFCSENETF
NSE,E,11596,EQUITY,0,LINCOLN-EQ,null,Lincoln Pharmaceuticals
NSE,E,11602,EQUITY,0,INDSWFTLTD-EQ,null,Ind Swift Limited
NSE,E,11606,EQUITY,0,GUFICBIO-EQ,null,Gufic BioSciences
